chassisNumber,make,model,year,trim,price
JN8BY2NY3P9415755,NISSAN,PATROL,2023,SE T2,132200.0
KY60332617543125,NISSAN,PATROL,2006,HT GL,24800.0
KY60332617543125,NISSAN,PATROL,2006,,0.0
,NISSAN,PATROL,2025.0,PRO 4X,191900.0
JN10UGY60Z0097117,NISSAN,PATROL,1996,STD,0.0
KY60810843,NISSAN,PATROL,1995,suv,0.0
Z8NTANY62DS001475,NISSAN,PATROL,2013,LE T1 +,55600.0
JN10UGY60Z0097117,NISSAN,PATROL,1996,std,0.0
WGY60363884,NISSAN,PATROL,1993,s,0.0
JN8AY2NY0R9500597,NISSAN,PATROL,2024,LE T1,151900.0
JN100KY60Z0861302,NISSAN,PATROL,1997,GXR,178300.0
,NISSAN,PATROL,2018.0,LE PLATINUM CITY,72600.0
,NISSAN,PATROL,2020.0,SUPER SAFARI HT,139175.0
JN8AY2NY1G9212861,NISSAN,PATROL,2016,SE T2,80900.0
JN8AY2NY7D9069894,NISSAN,PATROL,2013,SE T1,66500.0
JN8BY2NY7M9346550,NISSAN,PATROL,2021,SE TITANIUM,138800.0
,NISSAN,PATROL,2024.0,LE PLATINUM CITY,215700.0
KY60306328,NISSAN,PATROL,1989,S,0.0
JNBAY2NC2JX501268,NISSAN,PATROL,2018,LE,62900.0
JN8BY14Y59X538516,NISSAN,PATROL,2009,HT SAFARI,37500.0
JN8FY1JY9PX020198,NISSAN,PATROL,2023,LE PLATINUM CITY +,120460.0
KY60302651,NISSAN,PATROL,1988.0,1,36100.0
JN8AY2NY1P9477652,NISSAN,PATROL,2023,LE PLATINUM CITY,209250.0
JN8BY2NY7R9458238,NISSAN,PATROL,2024.0,SE TITANIUM,159800.0
JN8BY2NY6N9377466,NISSAN,PATROL,2022,SE TITANIUM,127400.0
JN8BY2NY1N9372644,NISSAN,PATROL,2022,SE PLATINUM CITY,159200.0
JN8AY2NY6M9423792,NISSAN,PATROL,2021,LE PLATINUM CITY,172200.0
JN8BY2NY6L9312758,NISSAN,PATROL,2020,SE TITANIUM,92900.0
JN8BY2NY0H9016836,NISSAN,PATROL,2017,XE,73000.0
JN8AY2NY2F9130670,NISSAN,PATROL,2015,LE PLATINUM CITY,120960.0
JN8FY1JY2LX015404,NISSAN,PATROL,2020,SUPER SAFARI T1,105200.0
JN8FY15Y9AX581034,NISSAN,PATROL,2010,SAFARI,43300.0
JN8FY1JY7DX000060,NISSAN,PATROL,2013,SUPER SAFARI T1,52400.0
K160025546,NISSAN,PATROL,1985,SE TITANIUM,113600.0
JN8BY2NY7L9312641,NISSAN,PATROL,2020,SE PLATINUM CITY,105600.0
WGY60365733,NISSAN,PATROL,1993,VXR,274500.0
JN1TASY61Z0401930,NISSAN,PATROL,1999.0,SV,43985.0
WGY60355158,NISSAN,PATROL,1992,SAFARI T1,0.0
WGY60354094,NISSAN,PATROL,1999,VX,12400.0
JN10WGY60Z0860128,NISSAN,PATROL,1997,S,39300.0
JN8FY1NY3KX034634,NISSAN,PATROL,2019,SUPER SAFARI,102060.0
JN8AY2NY2L9405417,NISSAN,PATROL,2020,LE PLATINUM CITY,168100.0
,NISSAN,PATROL,2024.0,SE PLATINUM CITY,211600.0
JN8AY3NY3T9112051,NISSAN,PATROL,2026,LE TITANIUM +,283000.0
JN8AY3NY6T9104235,NISSAN,PATROL,2026,LE T2,244100.0
WGY60320590,NISSAN,PATROL,1991,STD,10000.0
JN8AY2NY4G9221148,NISSAN,PATROL,2016,NISMO,130100.0
JN8BY3NY6S9012271,NISSAN,PATROL,2025.0,SE PLATINUM CITY,221300.0
JN8AY25Y4A9004853,NISSAN,PATROL,2010,SE T1,54000.0
JN8BY14Y82X446595,NISSAN,PATROL,2002,STD,11900.0
,NISSAN,PATROL,2017.0,LE PLATINUM CITY,104975.0
JN8AY3NY8S9005897,NISSAN,PATROL,2025,LE PLATINUM CITY,270000.0
JN8BY3NY319061879,NISSAN,PATROL,2001,SUPER SAFARI T2,7900.0
KY60366068,NISSAN,PATROL,1993,LE,11900.0
JN10WGY60Z0861560,NISSAN,PATROL,1997,XE,0.0
WGY60360529,NISSAN,PATROL,1993,PLUS,69200.0
JN10KYY60U0853823,NISSAN,PATROL,2000.0,GT,47215.0
KY60316175,NISSAN,PATROL,1990,SAFARI T1,0.0
UGY60001350,NISSAN,PATROL,1989,1500 REG/CAB AT4,139080.0
WGY60354515,NISSAN,PATROL,1992,1,0.0
JN8FY1NY1KX030811,NISSAN,PATROL,2021,HT SAFARI,92800.0
JN8FY1NY9MX036097,NISSAN,PATROL,2021.0,SUPER SAFARI,127100.0
JN8FY1NYXGX019197,NISSAN,PATROL,2016,HT GL,61200.0
JN8AY25Y4B9014140,NISSAN,PATROL,2011,SE T1,59200.0
JN8AY2NY1M9426390,NISSAN,PATROL,2021,LE TITANIUM,158700.0
JNBBT0BV05W103640,NISSAN,PATROL,2005,STANDARD,0.0
JN8BY14Y06X526690,NISSAN,PATROL,2006,SUPER SAFARI T2,23100.0
KY60351703,NISSAN,PATROL,1992,EX-L,18400.0
JN8BY3NY6T9052142,NISSAN,PATROL,2026,XE,206500.0
JN100KY60Z0851086,NISSAN,PATROL,1996.0,PREMIUM,94905.0
WGY60356408,NISSAN,PATROL,1992.0,SE,0.0
JN8BY2NYXK9186354,NISSAN,PATROL,2019,HT SAFARI,83580.0
,NISSAN,PATROL,2025,LE PLATINUM,201495.0
JN8AY2NY5L9405945,NISSAN,PATROL,2020.0,LE TITANIUM,132905.0
,NISSAN,PATROL,2016.0,SUPER SAFARI T1,55300.0
JN8AY2NYXN9448051,NISSAN,PATROL,2022,LE PLATINUM CITY,210600.0
JN8BY2NY9K9199533,NISSAN,PATROL,2019,XE,91245.0
JN8AY2NY9F9111727,NISSAN,PATROL,2015.0,SE PLATINUM CITY,70700.0
JN8AY3NY7T9111761,NISSAN,PATROL,2026,PRO 4X,280900.0
JN8AY2NY9G9214776,NISSAN,PATROL,2016,LE PLATINUM CITY,117800.0
JN8FY1NYONX100397,NISSAN,PATROL,2022,SUPER SAFARI,152000.0
JN10WGY60Z0850409,NISSAN,PATROL,1996,,0.0
JN8FY15Y3CX590900,NISSAN,PATROL,2012,SUPER SAFARI T2,38900.0
KY60311370,NISSAN,PATROL,1987,STAION,0.0
JN10WGY60Z0861972,NISSAN,PATROL,1997,BASE,16100.0
WGY60357094,NISSAN,PATROL,1992,suv,0.0
JN8AY2NY9P9474871,NISSAN,PATROL,2023.0,LE PLATINUM,215000.0
JN8AY2NY1P9474072,NISSAN,PATROL,2023,LE T1,178030.0
WGY60355149,NISSAN,PATROL,2000,STD,15100.0
UGY60090279,NISSAN,PATROL,1995,STAND,0.0
,NISSAN,PATROL,2023.0,SE PLATINUM CITY,196935.0
JN8FY15Y96X550633,NISSAN,PATROL,2006,STD,21945.0
JN8FY15Y5CX590056,NISSAN,PATROL,2012,HT GL,40900.0
JN8FY15Y47X559886,NISSAN,PATROL,2007,STD,23300.0
JN8AY2NY3F9126255,NISSAN,PATROL,2015,SE T2,72700.0
JN8FY15Y89X574622,NISSAN,PATROL,2009,SAFARI,39900.0
JN10WGY60Z0853343,NISSAN,PATROL,2002,HT GL,14400.0
JN8FY15Y98X562459,NISSAN,PATROL,2008,STD,23700.0
JN1TANY62U0001280,NISSAN,PATROL,2011,LE T1,74200.0
JN8BY2NY4M9350751,NISSAN,PATROL,2021,SE PLATINUM CITY,122220.0
JN8AY2NYXE9070748,NISSAN,PATROL,2014,SE T1,73600.0
JN8AY2NY8H9300730,NISSAN,PATROL,2017.0,LE T1,91200.0
JNBAY2NY3E9086676,NISSAN,PATROL,2014,LE T1 +,70700.0
JN10WGY60Z0862642,NISSAN,PATROL,1997,917,0.0
JN8FY1NY8EX001276,NISSAN,PATROL,2014,SUPER SAFARI T1,56900.0
JN8BY14Y21X435185,NISSAN,PATROL,2001,HT GL,14300.0
JN8FY1NYXLX034793,NISSAN,PATROL,2020,SUPER SAFARI,110500.0
JN8AY2NY9R9498090,NISSAN,PATROL,2024.0,LE TITANIUM,220000.0
JN8BY2NY7H9019247,NISSAN,PATROL,2017,HT GL,67300.0
WGY60080528,NISSAN,PATROL,1990,STD,0.0
JN8AY3NYOT9108913,NISSAN,PATROL,2026,LE PLATINUM CITY,342300.0
,NISSAN,PATROL,2014.0,SE PLATINUM CITY,46600.0
JMYSRCS1A6U801476,NISSAN,PATROL,2021,NISMO,215200.0
JN8BY2NY7J9103722,NISSAN,PATROL,2018,XE,80400.0
GD21504156,NISSAN,PATROL,1995,STD,0.0
JN8FY15Y28X562643,NISSAN,PATROL,2008,SAFARI T1,33400.0
JN10KYY60U0861744,NISSAN,PATROL,1993,S,0.0
JN8BY14Y86X526713,NISSAN,PATROL,2006,SAFARI T1,25100.0
JN8BY14Y44X510859,NISSAN,PATROL,2004,HT GL,22300.0
JN1TBSY61Z0405602,NISSAN,PATROL,1998,SE,0.0
WGY60810304,NISSAN,PATROL,1995,S,0.0
WGY60812008,NISSAN,PATROL,1995,GXR,99200.0
JN1TANY62Z0170491,NISSAN,PATROL,2024,SD,0.0
JNIOUGY60Z0098179,NISSAN,PATROL,1999,SAFARI T1,0.0
